OTU,Kingdom,Phylum,Class,Order,Family,Genus,Species
Uniq98656,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,
Uniq33850,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,
Uniq113268,Bacteria,Firmicutes,Negativicutes,,,,
Uniq90204,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,
Uniq104729,Bacteria,Proteobacteria,Betaproteobacteria,,,,
Uniq56534,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,
Uniq113114,Bacteria,Proteobacteria,,,,,
Uniq1950,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,
Uniq51583,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
Uniq110866,Bacteria,Bacteroidetes,Bacteroidia,,,,
Uniq10005,Bacteria,Firmicutes,Bacilli,,,,
Uniq26988,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Morganella,Morganella_morganii
Uniq46340,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Haemophilus_parahaemolyticus
Uniq44054,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,Veillonella_parvula
Uniq107783,Bacteria,Firmicutes,,,,,
Uniq99129,Bacteria,Bacteroidetes,Bacteroidia,,,,
Uniq104360,Bacteria,Proteobacteria,,,,,
Uniq106242,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
Uniq95942,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,
Uniq4091,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
Uniq109485,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,
Uniq114083,Bacteria,Firmicutes,Clostridia,,,,
Uniq87463,Bacteria,Saccharibacteria,,,,,
Uniq55661,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,
Uniq98794,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,
Uniq115207,Bacteria,Firmicutes,Clostridia,,,,
Uniq110258,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_1,Clostridium
Uniq102925,Bacteria,Proteobacteria,,,,,
Uniq33380,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,Veillonella
Uniq94911,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,
Uniq114549,Bacteria,Firmicutes,Negativicutes,,,,
Uniq2073,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_2,Clostridium
Uniq111363,Bacteria,Proteobacteria,,,,,
Uniq72156,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus
Uniq96866,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_epidermidis
Uniq92900,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
